,Object,Close Approach Date and Time,Close Approach Time Error,Close Approach Nominal Distance LD,Close Approach Minimum Distance LD,Minimum Distance Category,Diameter Min (m),Diameter Max (m),NEO Size Category,Relative Velocity (km/s),V Infinity (km/s),Relative Velocity Category,Absolute Magnitude (mag)
70,(2018 VG),2022,14:55,18.42,18.17,Mid-Distance,8.8,20.0,Small,6.67,6.66,Slow,27.4
71,(2006 SG7),2022,17:12,16.59,7.19,Mid-Distance,70.0,160.0,Large,18.45,18.44,Medium speed,22.9
72,(2013 TJ6),2022,09:52,11.68,11.64,Mid-Distance,24.0,54.0,Large,14.37,14.36,Medium speed,25.2
73,(2013 SL20),2022,03:34,6.13,6.13,Mid-Distance,33.0,75.0,Large,12.08,12.07,Medium speed,24.5
74,(2020 TO2),2022,12:04,1.39,1.26,Far Away,14.0,31.0,Small,12.58,12.52,Medium speed,26.4
75,(2020 BD),2022,12:35,12.04,11.95,Mid-Distance,15.0,33.0,Small,11.4,11.39,Medium speed,26.3
76,(2016 TH94),2022,00:01,19.01,19.01,Mid-Distance,32.0,71.0,Large,13.53,13.53,Medium speed,24.6
77,(2004 UT1),2022,00:18,3.95,2.31,Far Away,13.0,28.0,Small,6.35,6.31,Slow,26.6
78,(2021 VH),2022,00:04,5.90,5.84,Mid-Distance,3.2,7.1,Small,5.25,5.22,Slow,29.6
79,(2020 WD),2022,13:41,3.00,1.40,Far Away,6.1,14.0,Small,5.95,5.89,Slow,28.2
80,(2019 XS),2022,00:01,16.67,16.67,Mid-Distance,45.0,100.0,Large,11.87,11.86,Medium speed,23.9
81,(2019 VL5),2022,00:01,8.45,8.45,Mid-Distance,18.0,41.0,Small,8.14,8.12,Slow,25.8
82,(2018 WH),2022,19:35,2.49,0.38,Close,2.9,6.5,Small,7.73,7.68,Slow,29.8
83,(2019 OR1),2022,00:01,18.00,18.00,Mid-Distance,180.0,410.0,Large,13.38,13.38,Medium speed,20.8
84,(2005 LW3),2022,00:01,2.97,2.96,Far Away,130.0,280.0,Large,13.49,13.47,Medium speed,21.6
85,(2010 VQ),2022,04:52,11.86,8.74,Mid-Distance,7.7,17.0,Small,3.88,3.86,Slow,27.7
86,(2009 HV58),2022,00:07,12.27,12.26,Mid-Distance,320.0,710.0,Large,28.84,28.84,Fast,19.6
87,(2017 QL33),2022,00:01,15.96,15.96,Mid-Distance,150.0,340.0,Large,6.9,6.89,Slow,21.2
88,(2019 XY),2022,08:15,3.54,2.09,Far Away,7.0,16.0,Small,12.89,12.86,Medium speed,27.9
89,(2003 YS70),2022,11:49,10.41,5.15,Mid-Distance,4.0,9.0,Small,4.12,4.09,Slow,29.1
90,(2019 XQ1),2022,08:47,14.48,13.54,Mid-Distance,22.0,49.0,Small,9.79,9.78,Slow,25.4
91,(2018 XU3),2022,00:01,14.77,14.77,Mid-Distance,22.0,49.0,Small,10.32,10.31,Medium speed,25.4
92,(2021 XS4),2022,00:44,14.45,13.24,Mid-Distance,17.0,38.0,Small,9.7,9.7,Slow,26.0
93,(2015 RN35),2022,00:04,1.78,1.78,Far Away,64.0,140.0,Large,5.91,5.81,Slow,23.1
94,(2016 YE),2022,00:22,18.55,11.34,Mid-Distance,18.0,39.0,Small,4.76,4.75,Slow,25.9
95,(2014 HK129),2022,00:39,6.69,6.61,Mid-Distance,160.0,360.0,Large,11.58,11.56,Medium speed,21.1
96,(2017 XQ60),2022,00:01,18.73,18.73,Mid-Distance,34.0,75.0,Large,15.96,15.96,Medium speed,24.5
97,(2013 YA14),2022,00:01,2.69,2.69,Far Away,51.0,110.0,Large,10.47,10.43,Medium speed,23.6
98,(2018 YK2),2022,13:23,15.71,2.02,Far Away,73.0,160.0,Large,15.12,15.12,Medium speed,22.8
99,(2010 XC15),2022,00:01,2.01,2.01,Far Away,140.0,310.0,Large,10.1,10.05,Medium speed,21.4
100,(2021 AE),2022,23:24,16.47,0.01,Close,17.0,39.0,Small,14.95,14.95,Medium speed,25.9
101,(2021 NF),2023,03:09,17.88,15.39,Mid-Distance,30.0,67.0,Large,11.33,11.32,Medium speed,24.7
102,(2011 WR41),2023,22:43,15.78,15.77,Mid-Distance,25.0,56.0,Large,8.95,8.94,Slow,25.1
103,(2019 AY3),2023,14:23,16.73,7.28,Mid-Distance,46.0,100.0,Large,19.74,19.74,Medium speed,23.8
104,(2021 TL),2023,00:01,14.17,14.16,Mid-Distance,56.0,120.0,Large,8.45,8.44,Slow,23.4
105,(2014 LJ),2023,13:17,4.73,3.93,Mid-Distance,5.3,12.0,Small,3.48,3.41,Slow,28.5
106,(2012 BV13),2023,01:28,12.07,11.36,Mid-Distance,97.0,220.0,Large,6.68,6.67,Slow,22.2
107,(2020 BP),2023,15:03,5.19,0.43,Close,19.0,43.0,Small,16.94,16.92,Medium speed,25.7
108,(2019 BO2),2023,08:09,12.06,6.27,Mid-Distance,16.0,36.0,Small,16.21,16.2,Medium speed,26.1
109,(2019 BZ4),2023,00:01,16.43,16.43,Mid-Distance,15.0,33.0,Small,5.6,5.59,Slow,26.3
110,(2020 BZ14),2023,15:21,8.79,7.44,Mid-Distance,40.0,90.0,Large,6.72,6.71,Slow,24.1
111,(2017 DU34),2023,17:30,13.23,12.88,Mid-Distance,12.0,26.0,Small,11.16,11.15,Medium speed,26.8
112,367789 (2011 AG5),2023,00:02,4.73,4.72,Mid-Distance,110.0,250.0,Large,9.92,9.9,Slow,21.9
113,(2020 OO1),2023,00:33,4.80,4.67,Mid-Distance,14.0,31.0,Small,7.74,7.71,Slow,26.4
114,(2022 CX1),2023,04:30,17.52,15.02,Mid-Distance,10.0,23.0,Small,13.2,13.19,Medium speed,27.1
115,(2021 EP4),2023,03:28,18.96,18.18,Mid-Distance,3.7,8.4,Small,6.14,6.13,Slow,29.3
116,199145 (2005 YY128),2023,00:01,11.96,11.96,Mid-Distance,600000.0,1300.0,Large,24.65,24.64,Fast,18.2
117,(2020 DG4),2023,08:56,1.44,1.16,Far Away,6.1,14.0,Small,6.92,6.82,Slow,28.2
118,(2020 CX1),2023,00:01,17.29,17.29,Mid-Distance,40.0,90.0,Large,7.73,7.72,Slow,24.1
119,37638 (1993 VB),2023,00:01,16.98,16.98,Mid-Distance,370.0,820.0,Large,11.07,11.07,Medium speed,19.3
120,(2012 DK31),2023,00:01,12.59,12.59,Mid-Distance,110.0,250.0,Large,15.54,15.54,Medium speed,21.9
121,(2006 BE55),2023,00:01,9.32,9.32,Mid-Distance,110.0,250.0,Large,13.32,13.32,Medium speed,21.9
122,(2021 QW),2023,05:38,13.43,10.72,Mid-Distance,59.0,130.0,Large,12.11,12.1,Medium speed,23.3
123,(2017 BM123),2023,00:01,12.03,12.03,Mid-Distance,46.0,100.0,Large,7.82,7.81,Slow,23.8
124,(2007 ED125),2023,00:01,11.69,11.69,Mid-Distance,170.0,380.0,Large,13.06,13.06,Medium speed,21.0
125,(2015 EG),2023,00:01,13.86,13.86,Mid-Distance,20.0,45.0,Small,10.62,10.61,Medium speed,25.6
126,535844 (2015 BY310),2023,00:01,10.49,10.49,Mid-Distance,110.0,250.0,Large,7.72,7.7,Slow,21.9
127,(2020 FQ),2023,23:00,14.00,9.45,Mid-Distance,9.7,22.0,Small,6.32,6.3,Slow,27.2
128,(2020 FV4),2023,20:15,17.52,17.03,Mid-Distance,22.0,49.0,Small,8.15,8.15,Slow,25.4
129,(2018 UQ1),2023,00:01,10.68,10.68,Mid-Distance,110.0,240.0,Large,11.68,11.67,Medium speed,22.0
130,(2016 WH),2023,04:17,18.04,17.65,Mid-Distance,11.0,24.0,Small,11.77,11.77,Medium speed,27.0
131,(2018 FE3),2023,10:45,10.10,8.84,Mid-Distance,9.7,22.0,Small,5.45,5.43,Slow,27.2
132,(2017 SE12),2023,12:44,5.16,2.67,Far Away,11.0,25.0,Small,8.39,8.37,Slow,26.9
133,(2016 GH1),2023,07:03,7.66,1.23,Far Away,8.4,19.0,Small,5.82,5.8,Slow,27.5
134,(2021 GN1),2023,09:36,17.54,13.39,Mid-Distance,14.0,31.0,Small,14.16,14.15,Medium speed,26.4
135,(2018 FD),2023,18:53,17.84,15.94,Mid-Distance,35.0,78.0,Large,8.18,8.18,Slow,24.4
136,(2019 GK21),2023,03:22,15.12,14.36,Mid-Distance,20.0,45.0,Small,8.06,8.05,Slow,25.6
137,436774 (2012 KY3),2023,00:01,12.44,12.44,Mid-Distance,540000.0,1200.0,Large,17.55,17.55,Medium speed,18.5
138,(2006 HV5),2023,00:01,6.30,6.29,Mid-Distance,307.0,76.0,Large,17.42,17.41,Medium speed,19.8
